MCS Volumen AContact r h theta
0 14000.0 0.0 0.0 29.902658734369908 180.0
1 15565.0 51.0 4.029119531035698 30.453775146401835 164.92675730384897
2 17698.0 186.0 7.694520051971082 30.503620860141236 151.68504201925114
3 20186.0 381.0 11.012541334134653 30.20683763091704 139.9392076164209
4 22990.0 624.0 14.093451279891855 29.703723178608247 129.23436089515926
5 25833.0 879.0 16.727055627203253 29.17947851564412 120.35325557771475
6 28545.0 1164.0 19.248706645328987 28.4121586737148 111.76618741317033
7 31197.0 1479.0 21.697472702271718 27.485224915908177 103.42324140155931
8 33723.0 1719.0 23.391765524430518 27.1047780023062 98.41078473210806
9 35999.0 1992.0 25.180812005932435 26.433704821349256 92.78105387940752
10 38038.0 2223.0 26.60080594618454 25.970641164664144 88.62647671929209
11 39659.0 2448.0 27.914558950087667 25.395151733572355 84.58845027797439
12 41085.0 2631.0 28.939131129830994 25.007081152790096 81.66235554479569
13 42191.0 2793.0 29.816765621229397 24.618024917936985 79.08913917134944
14 43026.0 2892.0 30.340603007249587 24.457646075898392 77.74477160409785
15 43663.0 2970.0 30.747038263316654 24.326694962737303 76.70126100377594
16 44088.0 3021.0 31.00990432363879 24.24654347036746 76.04347289381897
17 44372.0 3072.0 31.270560761786875 24.110338088786 75.26613742264621
18 44599.0 3108.0 31.453253031430968 24.02633192549599 74.75055991364646
19 44771.0 3132.0 31.574460621325464 23.979259297156716 74.42978819632324
20 44903.0 3156.0 31.695204697178458 23.916427317915236 74.07462523256856
21 44990.0 3162.0 31.725318912709863 23.922577496632652 74.03647170581891
22 45059.0 3171.0 31.770436715424612 23.90701643201354 73.92237564735908
23 45141.0 3180.0 31.815490536285218 23.896731949353928 73.820694594869
24 45201.0 3198.0 31.905407316249114 23.83454643427065 73.52224526838002
25 45252.0 3210.0 31.96521131871285 23.79768406224081 73.33440803815346
26 45270.0 3207.0 31.950270812489475 23.819215261990887 73.40972291316692
27 45300.0 3213.0 31.98014484502094 23.80261279961891 73.3201383477759
28 45317.0 3216.0 31.99507140118726 23.795124274444223 73.27726183600953
29 45338.0 3225.0 32.03980934622934 23.76070146836892 73.12121434484209
30 45316.0 3231.0 32.06959997037424 23.7234025698767 72.98417484506051
31 45317.0 3240.0 32.11423409074988 23.68114219888223 72.81037156014372
32 45320.0 3240.0 32.11423409074988 23.682341747037583 72.81314414083
33 45320.0 3231.0 32.06959997037424 23.72500282365192 72.9878704350104
34 45344.0 3258.0 32.20331674201883 23.606902068036305 72.48716277665709
35 45356.0 3264.0 32.23295624828558 23.583434918561863 72.38258243145016
36 45376.0 3270.0 32.26256852485548 23.56319869100805 72.28558493365945
37 45380.0 3282.0 32.321711688201184 23.50849037841579 72.05889964172277
38 45392.0 3276.0 32.29215364663835 23.541404258392078 72.18508097595955
39 45381.0 3276.0 32.29215364663835 23.537018939703447 72.17491897690205
40 45393.0 3282.0 32.321711688201184 23.51367112565809 72.07091144786796
41 45406.0 3288.0 32.35124272377035 23.490761351259543 71.96801823994369
42 45415.0 3282.0 32.321711688201184 23.522436744554724 72.09123077622273
43 45399.0 3288.0 32.35124272377035 23.487973270267844 71.96155163686768
44 45411.0 3297.0 32.39548880242368 23.450699330281978 71.80064136949926
45 45417.0 3294.0 32.380746827233715 23.46709472172515 71.86346795470223
46 45434.0 3312.0 32.46909827883606 23.389974767510065 71.53618195904274
47 45431.0 3318.0 32.49849538606084 23.360907950726777 71.41946095971934
48 45431.0 3315.0 32.48380015791358 23.37483953967954 71.476412151115
49 45399.0 3315.0 32.48380015791358 23.362117346404915 71.44683792834417
50 45418.0 3333.0 32.571872077769406 23.286252253010083 71.123398516228
51 45425.0 3336.0 32.586527589007176 23.275166342771442 71.07320216313151
52 45426.0 3339.0 32.60117651201682 23.26170869347167 71.01750656487948
53 45405.0 3342.0 32.615818855675364 23.23953050351964 70.9415143800787
54 45398.0 3354.0 32.67432261364318 23.18149494889219 70.70921591104911
55 45410.0 3357.0 32.68893219300663 23.172466543768802 70.66398146085292
56 45423.0 3357.0 32.68893219300663 23.17762088157474 70.67600619944415
57 45437.0 3363.0 32.7181317809573 23.15562361324232 70.57642294600662
58 45431.0 3363.0 32.7181317809573 23.153246102274373 70.57087471148289
59 45431.0 3375.0 32.77645291776237 23.098284295600134 70.34638323981076
60 45431.0 3378.0 32.79101699442768 23.084571072820054 70.29037859842782
61 45428.0 3381.0 32.80557460535322 23.069681338881914 70.23164606380784
62 45428.0 3384.0 32.82012575914278 23.055990121322683 70.17573586262955
63 45422.0 3384.0 32.82012575914278 23.05361568530666 70.17018471933699
64 45424.0 3381.0 32.80557460535322 23.068098081167424 70.22794553841615
65 45408.0 3387.0 32.83467046438108 23.03439596347181 70.10136544960477
66 45424.0 3387.0 32.83467046438108 23.04072716220776 70.11617210872127
67 45458.0 3399.0 32.892784970851956 22.999554897625863 69.92464342700532
68 45450.0 3390.0 32.849208729633816 23.037341691524176 70.08440661051706
69 45437.0 3390.0 32.849208729633816 23.032200233384184 70.07238322770299
70 45440.0 3393.0 32.86374056344776 23.01972723838006 70.01939018377196
71 45451.0 3402.0 32.90729756144153 22.98316059804435 69.86254426153947
72 45454.0 3396.0 32.878265974350796 23.01161304474711 69.97661762700452
73 45448.0 3396.0 32.878265974350796 23.00924122655622 69.97106890520853
74 45435.0 3399.0 32.892784970851956 22.99046431449437 69.90337042393033
75 45439.0 3396.0 32.878265974350796 23.005683197832028 69.96274441206042
76 45454.0 3399.0 32.892784970851956 22.997974096135152 69.92094456751998
77 45441.0 3402.0 32.90729756144153 22.979208953981285 69.85329471668717
78 45439.0 3408.0 32.9363035587535 22.95119736989042 69.74033359588218
79 45443.0 3402.0 32.90729756144153 22.97999931843515 69.85514479250924
80 45447.0 3405.0 32.921803754591075 22.967963320580097 69.80326584093866
81 45442.0 3414.0 32.96528403383568 22.92520415827825 69.63218701449655
82 45435.0 3411.0 32.95079698236311 22.936023197970727 69.68114802750759
83 45457.0 3414.0 32.96528403383568 22.931126530577448 69.64606190227565
84 45462.0 3417.0 32.97976472156848 22.919525921579165 69.59529613106672
85 45458.0 3423.0 33.00870703931185 22.89083126324018 69.48095883692635
86 45453.0 3417.0 32.97976472156848 22.91597355001251 69.58697247130492
87 45440.0 3417.0 32.97976472156848 22.910841713458534 69.57494643976776
88 45455.0 3417.0 32.97976472156848 22.916762996908485 69.58882231871326
89 45448.0 3414.0 32.96528403383568 22.9275732268995 69.63773753048316
90 45460.0 3420.0 32.99423905394037 22.905173022498 69.53810399286296
91 45468.0 3426.0 33.02316868602507 22.88123395520441 69.43495855923662
92 45479.0 3414.0 32.96528403383568 22.939810872532906 69.66640328543323
93 45478.0 3417.0 32.97976472156848 22.92584036342673 69.6100895996128
94 45483.0 3414.0 32.96528403383568 22.941389613352282 69.67010063924877
95 45495.0 3414.0 32.96528403383568 22.946125410461786 69.68119070849764
96 45487.0 3408.0 32.9363035587535 22.970153875202584 69.78471721258084
97 45490.0 3417.0 32.97976472156848 22.93057545124219 69.62118121721167
98 45494.0 3423.0 33.00870703931185 22.90503192834091 69.51424133337109
99 45487.0 3426.0 33.02316868602507 22.888727070044272 69.45252413647424
100 45482.0 3423.0 33.00870703931185 22.900299009096273 69.50315014805547
101 45471.0 3432.0 33.05207299675423 22.855364131925803 69.3273778606475
102 45457.0 3426.0 33.02316868602507 22.87689510837527 69.42478560241535
103 45448.0 3426.0 33.02316868602507 22.873344745770176 69.41646041229376
104 45451.0 3426.0 33.02316868602507 22.8745282396773 69.41923566187795
