MCS Volumen AContact r h theta
0 14000.0 0.0 0.0 29.902658734369908 180.0
1 15645.0 99.0 5.613615477764332 30.015596865105458 158.81346642353702
2 17706.0 270.0 9.27058084855655 29.686329155660776 145.31444819423825
3 20281.0 477.0 12.322086499845234 29.37700032590263 134.48909322059282
4 23125.0 696.0 14.884343478431232 29.156872496037604 125.91212481609563
5 26112.0 954.0 17.42606184481555 28.724986644287437 117.51366940619138
6 28947.0 1224.0 19.738573927438622 28.17123229004615 109.9648938759644
7 31659.0 1560.0 22.283703068536735 27.151693908486063 101.24777133201266
8 34084.0 1800.0 23.936536824085962 26.74339850855869 96.3400710696113
9 36333.0 2049.0 25.538538658086665 26.23531889983624 91.54209707228623
10 38327.0 2274.0 26.904213074943115 25.800169589241335 87.59990426939883
11 39999.0 2478.0 28.085083193101518 25.37697236187062 84.20034221780143
12 41328.0 2679.0 29.201920914323004 24.852846572380997 80.80014530096528
13 42345.0 2829.0 30.00830998263554 24.495605363256534 78.44911567058651
14 43127.0 2949.0 30.638143781175756 24.20977230143323 76.63045543735203
15 43712.0 3066.0 31.240008179248324 23.869195127237194 74.76389095941403
16 44137.0 3147.0 31.649979649604663 23.649009958486744 73.53450835488638
17 44411.0 3213.0 31.98014484502094 23.444598137123872 72.49017876936199
18 44628.0 3270.0 32.26256852485548 23.263531182404055 71.58839359394959
19 44782.0 3315.0 32.48380015791358 23.11589041857594 70.87228885766943
20 44919.0 3363.0 32.7181317809573 22.949763238523143 70.09461048139738
21 45000.0 3393.0 32.86374056344776 22.845303067646523 69.61036405297443
22 45096.0 3420.0 32.99423905394037 22.76123952573337 69.20009084453244
23 45163.0 3438.0 33.08095205250103 22.706771049793403 68.9314209881994
24 45234.0 3462.0 33.19621704303494 22.627387417001422 68.55867838431115
25 45302.0 3474.0 33.253699713001694 22.600711677215145 68.40358458958681
26 45324.0 3492.0 33.33973788969849 22.52945520179338 68.09802233002202
27 45352.0 3507.0 33.41126712422853 22.4741474039382 67.85363694614327
28 45387.0 3525.0 33.49690058494759 22.40864431233461 67.56319668810582
29 45414.0 3534.0 33.53963532558928 22.379741767799114 67.4273930846161
30 45452.0 3546.0 33.59653042216892 22.342109707714915 67.24879842569604
31 45448.0 3561.0 33.6675140855466 22.27515057045607 66.97895482744165
32 45467.0 3579.0 33.75249742836501 22.20443897203726 66.67868633061487
33 45463.0 3594.0 33.82315376993316 22.138061601036885 66.4114092936598
34 45459.0 3615.0 33.92182540127231 22.04620609201559 66.04065702502339
35 45473.0 3627.0 33.97808054008656 22.000279836972297 65.84486081753508
36 45481.0 3630.0 33.992129778040685 21.99057074487889 65.80018011614197
37 45498.0 3642.0 34.04826875894523 21.94600305832494 65.60806369102112
38 45504.0 3651.0 34.09031232560095 21.910061867615962 65.45822894772641
39 45502.0 3657.0 34.11831258685169 21.883826732540207 65.35303650526926
40 45505.0 3669.0 34.17424428437779 21.83419409956342 65.14965998811361
41 45523.0 3693.0 34.28583395043409 21.740058851809593 64.75616527212998
42 45513.0 3702.0 34.327586554437424 21.6984574441881 64.59393721587354
43 45512.0 3714.0 34.383177824142415 21.64789922885953 64.38963422152227
44 45517.0 3720.0 34.41093978088511 21.624802560569368 64.292819249759
45 45507.0 3729.0 34.45254077102813 21.583491563139265 64.13183862188639
46 45513.0 3732.0 34.46639660942099 21.573337112843948 64.08685665726753
47 45512.0 3741.0 34.50793074372268 21.535618165421116 63.93470629490163
48 45525.0 3744.0 34.52176435050956 21.52819450497567 63.896338916059364
49 45542.0 3744.0 34.52176435050956 21.534732394857283 63.91196289954845
50 45539.0 3750.0 34.54941494713355 21.508756458207483 63.80870038980956
51 45578.0 3759.0 34.59084939929734 21.486576198275948 63.69408982616915
52 45590.0 3771.0 34.64601825317124 21.441765441437056 63.50516296141014
53 45586.0 3780.0 34.68733731168665 21.403277245731594 63.352019173267216
54 45585.0 3777.0 34.67356976309445 21.415201767895816 63.400881845798644
55 45579.0 3792.0 34.74235294865525 21.351468577579272 63.146939056160925
56 45553.0 3792.0 34.74235294865525 21.341513638950033 63.123102936252
57 45570.0 3813.0 34.83842126185964 21.262451738686085 62.79278325644825
58 45554.0 3813.0 34.83842126185964 21.256336559287526 62.77812678608414
59 45566.0 3816.0 34.8521236896311 21.248739753088312 62.73988582619998
60 45564.0 3822.0 34.87951239616815 21.2236399434267 62.639722641147486
61 45573.0 3828.0 34.906879612929465 21.20278001804973 62.549809454023276
62 45583.0 3834.0 34.934225390419826 21.182338194551217 62.46098551998655
63 45583.0 3846.0 34.988852828620416 21.133943431737414 62.26557530506707
64 45571.0 3846.0 34.988852828620416 21.12937101777371 62.25460264189428
65 45586.0 3864.0 35.070634442709576 21.06279582521613 61.97654864573474
66 45564.0 3861.0 35.05701742241653 21.066447291029533 62.004961913314254
67 45565.0 3858.0 35.04339511087738 21.078859013685747 62.054433941079296
68 45560.0 3855.0 35.02976750191918 21.08899634333036 62.09846566257274
69 45537.0 3858.0 35.04339511087738 21.068198766078954 62.02883304090817
70 45569.0 3864.0 35.070634442709576 21.056328642685212 61.96101771636495
71 45566.0 3867.0 35.0842461779175 21.0431761820448 61.90980793288478
72 45565.0 3873.0 35.11145381766214 21.018804074832023 61.81209198076463
73 45555.0 3879.0 35.13864039069986 20.991052841128862 61.70633679822647
74 45548.0 3879.0 35.13864039069986 20.988392805122484 61.699943360354226
75 45537.0 3894.0 35.20651497663012 20.92452386604361 61.44913930050753
76 45542.0 3891.0 35.19295053190525 20.93833968333005 61.50176595252859
77 45540.0 3909.0 35.27425895879937 20.866222985117176 61.21223635807768
78 45556.0 3912.0 35.28779214899948 20.86042719784305 61.17903070939404
79 45550.0 3921.0 35.328360614761664 20.822637092552462 61.030438918345794
80 45548.0 3921.0 35.328360614761664 20.821879959771298 61.0286162397471
81 45536.0 3930.0 35.3688825481142 20.78191402018866 60.87496363630768
82 45557.0 3942.0 35.42283968482062 20.742757535623856 60.70441407638947
83 45586.0 3954.0 35.47671475729832 20.706759042669187 60.541811018105705
84 45576.0 3957.0 35.490170746690694 20.691273454617026 60.48558503566617
85 45573.0 3972.0 35.55737431141417 20.631728790142173 60.24784541173803
