MCS Volumen AContact r h theta
0 14000.0 0.0 0.0 29.902658734369908 180.0
1 15624.0 3.0 0.9772050238058398 30.986075398446467 176.38733386468735
2 17672.0 24.0 2.763953195770684 32.080462809910344 170.15146715688874
3 20275.0 102.0 5.698035485213008 32.87203835341642 160.33214274038497
4 23254.0 255.0 9.009385160867895 33.12465300302858 149.56902302049173
5 26258.0 471.0 12.244343853084386 32.82962241577926 139.0923561199655
6 29335.0 753.0 15.48183917680307 32.065240065548835 128.45535100743717
7 32210.0 1047.0 18.255696394123913 31.187528951144657 119.31464643936881
8 34738.0 1290.0 20.263754666327017 30.599303026213857 112.97261511562098
9 37073.0 1569.0 22.347890536298223 29.725823857851513 106.12826944780771
10 39142.0 1809.0 23.996303550890445 29.063474846737627 100.91032528602267
11 40801.0 2049.0 25.538538658086665 28.273781471701636 95.8196008364386
12 42095.0 2238.0 26.69040136976819 27.687161284145937 92.10026850832035
13 43017.0 2445.0 27.897449197361542 26.874488741431815 87.86005369062245
14 43724.0 2616.0 28.856518540128786 26.215760334496988 84.50945196983297
15 44216.0 2736.0 29.51094455619561 25.770805093138346 82.25899551028304
16 44553.0 2811.0 29.912691120369555 25.512672869740992 80.92203094840478
17 44825.0 2934.0 30.560124444498616 24.987243578491647 78.54175518799055
18 44999.0 2991.0 30.855548440689205 24.76917254564113 77.51124071443905
19 45124.0 3042.0 31.11749787131175 24.564625995518618 76.57619811662512
20 45224.0 3084.0 31.331576548121713 24.397171543412988 75.81412844371026
21 45295.0 3123.0 31.529062379842163 24.234640230266056 75.09496476853482
22 45358.0 3156.0 31.695204697178458 24.099644681510572 74.49553504384896
23 45386.0 3207.0 31.950270812489475 23.865681451331632 73.51676713893872
24 45428.0 3249.0 32.15880626222211 23.682912275009738 72.73855919467829
25 45449.0 3279.0 32.306936047800164 23.55004364446943 72.18013097090316
26 45484.0 3312.0 32.46909827883606 23.40984680170572 71.58234106540719
27 45507.0 3333.0 32.571872077769406 23.321575932631053 71.20559573658444
28 45533.0 3387.0 32.83467046438108 23.083827925073994 70.21689974401157
29 45535.0 3408.0 32.9363035587535 22.98910014768908 69.82905292517188
30 45553.0 3426.0 33.02316868602507 22.914743420116057 69.5134834500061
31 45597.0 3471.0 33.23933836501469 22.730075415776522 68.7310271818651
32 45599.0 3507.0 33.41126712422853 22.570998251656423 68.08202617202984
33 45606.0 3510.0 33.4255546028051 22.560486365455834 68.03454771214089
34 45628.0 3531.0 33.525396464694715 22.476613324028737 67.67860043804083
35 45625.0 3546.0 33.59653042216892 22.409701860079586 67.40850158520557
36 45626.0 3567.0 33.695865681379686 22.318503289568156 67.03711026044786
37 45613.0 3588.0 33.79490896018868 22.222375317122292 66.65510125140197
38 45625.0 3597.0 33.83726733356426 22.18817398490227 66.50826415087874
39 45628.0 3615.0 33.92182540127231 22.111882076331348 66.19649679888609
40 45626.0 3645.0 34.06228904727216 21.982851744247952 65.67414090810608
41 45649.0 3669.0 34.17424428437779 21.889894473751347 65.28219335691301
42 45650.0 3693.0 34.28583395043409 21.789082601770787 64.87295284137251
43 45672.0 3708.0 34.355393433484295 21.73464696976484 64.6382852969142
