MCS Area Volume r h theta_rad theta_deg
115 2163 9569 26.2394 8.54575 0.629701 36.0792
116 2178 9568 26.3302 8.49164 0.623949 35.7496
117 2187 9590 26.3845 8.4782 0.621822 35.6278
118 2184 9600 26.3664 8.49705 0.623517 35.7249
119 2205 9606 26.4929 8.42856 0.616037 35.2963
120 2199 9622 26.4568 8.46263 0.619163 35.4754
121 2217 9628 26.5649 8.40513 0.612868 35.1148
122 2220 9623 26.5829 8.39071 0.611493 35.036
123 2211 9637 26.5289 8.43325 0.615574 35.2698
124 2226 9654 26.6187 8.39547 0.611044 35.0102
125 2247 9687 26.744 8.35077 0.605311 34.6817
126 2244 9701 26.7262 8.3723 0.607159 34.7876
127 2250 9689 26.7619 8.34224 0.60435 34.6267
128 2247 9693 26.744 8.35563 0.605642 34.7007
129 2271 9686 26.8865 8.26941 0.59677 34.1924
130 2262 9684 26.8331 8.29783 0.599821 34.3672
131 2271 9681 26.8865 8.26538 0.596497 34.1767
132 2250 9659 26.7619 8.31793 0.602694 34.5318
133 2262 9654 26.8331 8.27362 0.598173 34.2728
134 2283 9664 26.9574 8.21203 0.591398 33.8846
135 2295 9673 27.0282 8.17989 0.58776 33.6762
136 2298 9695 27.0458 8.18765 0.587924 33.6855
137 2295 9711 27.0282 8.21022 0.589815 33.7939
138 2307 9733 27.0987 8.18857 0.586903 33.627
139 2301 9723 27.0635 8.20016 0.588409 33.7134
140 2307 9735 27.0987 8.19015 0.58701 33.6332
141 2322 9713 27.1867 8.12423 0.580769 33.2756
142 2322 9708 27.1867 8.12028 0.580502 33.2603
143 2340 9716 27.2919 8.06915 0.574944 32.9418
144 2328 9710 27.2218 8.10263 0.578604 33.1515
145 2328 9734 27.2218 8.12157 0.579882 33.2248
146 2316 9726 27.1515 8.15384 0.58348 33.431
147 2316 9746 27.1515 8.16968 0.58455 33.4923
148 2325 9757 27.2042 8.14935 0.58211 33.3524
149 2325 9733 27.2042 8.1304 0.580831 33.2792
150 2331 9739 27.2393 8.11591 0.579147 33.1827
151 2319 9734 27.1691 8.1505 0.582898 33.3976
152 2331 9756 27.2393 8.12931 0.58005 33.2344
153 2346 9780 27.3268 8.10034 0.576347 33.0222
154 2349 9772 27.3443 8.08457 0.574938 32.9415
155 2352 9779 27.3617 8.08056 0.574321 32.9062
