MCS Area Volume r h theta_rad theta_deg
115 3066 16059 31.24 10.1214 0.626633 35.9034
116 3078 16071 31.3011 10.0927 0.62383 35.7428
117 3081 16056 31.3163 10.075 0.622519 35.6677
118 3078 16052 31.3011 10.0815 0.623182 35.7057
119 3105 16054 31.4381 10.0032 0.616113 35.3007
120 3096 16052 31.3925 10.0284 0.618411 35.4323
121 3099 16053 31.4077 10.0202 0.617655 35.389
122 3117 16063 31.4988 9.97341 0.613284 35.1386
123 3108 16047 31.4533 9.9903 0.615092 35.2422
124 3099 16047 31.4077 10.0166 0.617452 35.3774
125 3111 16041 31.4684 9.97804 0.614106 35.1857
126 3120 16055 31.5139 9.96003 0.612235 35.0785
127 3123 16066 31.5291 9.95774 0.611827 35.0551
128 3123 16047 31.5291 9.94667 0.611188 35.0185
129 3129 16050 31.5593 9.93107 0.609738 34.9354
130 3111 16017 31.4684 9.96402 0.613296 35.1393
131 3123 16039 31.5291 9.94202 0.610919 35.0031
132 3135 16039 31.5896 9.90738 0.607824 34.8258
133 3129 16019 31.5593 9.91303 0.608698 34.8758
134 3108 16021 31.4533 9.9751 0.614214 35.1919
135 3120 16041 31.5139 9.95187 0.611764 35.0515
136 3120 16022 31.5139 9.9408 0.611125 35.0149
137 3129 16016 31.5593 9.91129 0.608597 34.8701
138 3141 16045 31.6198 9.89362 0.606486 34.7491
139 3180 16062 31.8155 9.79264 0.597185 34.2162
140 3168 16061 31.7554 9.82593 0.600163 34.3868
141 3168 16047 31.7554 9.81786 0.599699 34.3602
142 3150 16039 31.6651 9.86439 0.603989 34.606
143 3153 16031 31.6801 9.85121 0.60296 34.547
144 3159 16027 31.7103 9.83183 0.601306 34.4523
145 3171 16026 31.7704 9.79729 0.59825 34.2772
146 3189 16073 31.8605 9.77369 0.595304 34.1084
147 3198 16088 31.9054 9.75712 0.593564 34.0087
148 3183 16065 31.8305 9.78593 0.596535 34.1789
149 3198 16072 31.9054 9.74797 0.59304 33.9787
150 3207 16062 31.9503 9.71723 0.590494 33.8328
151 3213 16064 31.9801 9.70175 0.589088 33.7522
152 3228 16052 32.0547 9.65362 0.585043 33.5205
153 3237 16043 32.0994 9.6239 0.582576 33.3791
154 3246 16033 32.144 9.59375 0.58009 33.2367
155 3252 16056 32.1736 9.59049 0.579398 33.1971
156 3258 16051 32.2033 9.57144 0.577807 33.1059
157 3243 16021 32.1291 9.5951 0.580421 33.2557
158 3246 16019 32.144 9.58583 0.579638 33.2108
159 3264 16001 32.233 9.5271 0.574776 32.9322
160 3258 15997 32.2033 9.54097 0.576068 33.0063
161 3252 15996 32.1736 9.55659 0.577462 33.0862
162 3231 16006 32.0696 9.61929 0.582822 33.3933
163 3231 15999 32.0696 9.61531 0.582595 33.3802
164 3246 16025 32.144 9.58922 0.579832 33.2219
165 3249 16012 32.1588 9.57374 0.578694 33.1568
166 3243 16016 32.1291 9.59227 0.580259 33.2464
167 3264 16005 32.233 9.52935 0.574904 32.9396
168 3270 15986 32.2626 9.50258 0.572878 32.8235
169 3264 15983 32.233 9.51696 0.574197 32.899
170 3252 15972 32.1736 9.54302 0.576687 33.0418
171 3276 15990 32.2922 9.48881 0.571596 32.7501
172 3294 16014 32.3807 9.45446 0.568162 32.5533
173 3288 16006 32.3512 9.46588 0.569303 32.6186
174 3291 16015 32.366 9.46297 0.568891 32.5951
175 3300 16032 32.4102 9.44868 0.567343 32.5064
176 3297 16029 32.3955 9.45492 0.567943 32.5407
177 3288 16014 32.3512 9.47036 0.569558 32.6333
178 3279 15999 32.3069 9.48587 0.571181 32.7263
179 3282 16022 32.3217 9.49079 0.571214 32.7282
180 3294 15998 32.3807 9.44551 0.567652 32.5241
181 3309 15979 32.4544 9.39543 0.563586 32.2911
182 3297 15972 32.3955 9.42305 0.566129 32.4368
183 3282 15978 32.3217 9.4661 0.569808 32.6476
184 3285 15979 32.3365 9.4587 0.56914 32.6093
185 3279 15964 32.3069 9.46621 0.570061 32.6621
186 3273 15942 32.2774 9.46981 0.570761 32.7022
187 3279 15951 32.3069 9.45891 0.569644 32.6382
188 3294 15953 32.3807 9.42033 0.566219 32.4419
189 3300 15962 32.4102 9.40956 0.565118 32.3789
190 3333 15970 32.5719 9.32795 0.557831 31.9614
191 3330 15955 32.5572 9.32739 0.558038 31.9732
192 3345 15980 32.6305 9.30254 0.55544 31.8244
193 3348 15994 32.6451 9.30256 0.555205 31.8109
194 3342 15966 32.6158 9.30251 0.555676 31.8379
195 3357 15953 32.6889 9.25688 0.551912 31.6222
196 3360 15955 32.7035 9.25033 0.551307 31.5875
197 3327 15945 32.5425 9.32961 0.558402 31.9941
198 3333 15965 32.5719 9.32518 0.557674 31.9524
199 3330 15941 32.5572 9.31962 0.557597 31.9479
200 3336 15942 32.5865 9.30468 0.556273 31.8721
201 3336 15951 32.5865 9.30967 0.556556 31.8883
202 3354 15974 32.6743 9.27613 0.553237 31.6981
203 3339 15954 32.6012 9.30359 0.555974 31.855
204 3348 15969 32.6451 9.28875 0.554423 31.7661
205 3348 15986 32.6451 9.29814 0.554955 31.7966
206 3324 15991 32.5279 9.36295 0.560535 32.1163
207 3333 15987 32.5719 9.33738 0.558366 31.992
208 3336 15991 32.5865 9.33183 0.557813 31.9603
209 3360 15993 32.7035 9.27127 0.552492 31.6555
210 3369 15975 32.7473 9.23844 0.549934 31.5089
211 3354 15975 32.6743 9.27668 0.553268 31.6999
212 3369 15994 32.7473 9.24888 0.550525 31.5427
213 3360 16000 32.7035 9.27513 0.55271 31.668
214 3363 15988 32.7181 9.26086 0.551669 31.6083
215 3372 16005 32.7619 9.24731 0.550203 31.5243
216 3390 15994 32.8492 9.19578 0.545904 31.278
217 3381 15994 32.8056 9.21847 0.547877 31.3911
218 3378 16000 32.791 9.22935 0.548723 31.4395
219 3384 16006 32.8201 9.21747 0.54759 31.3746
220 3393 16014 32.8637 9.19917 0.545866 31.2758
221 3384 16015 32.8201 9.2224 0.547868 31.3905
222 3369 16021 32.7473 9.26373 0.551364 31.5908
223 3372 16001 32.7619 9.24511 0.550079 31.5172
224 3387 16005 32.8347 9.20935 0.546901 31.3351
225 3375 16013 32.7765 9.24408 0.549788 31.5005
226 3369 16008 32.7473 9.25658 0.55096 31.5677
227 3381 15975 32.8056 9.20805 0.547289 31.3573
228 3378 15978 32.791 9.21728 0.548041 31.4004
229 3378 15980 32.791 9.21837 0.548103 31.404
230 3384 15949 32.8201 9.18623 0.545825 31.2735
231 3393 15949 32.8637 9.16363 0.54386 31.1609
232 3393 15960 32.8637 9.16964 0.5442 31.1803
233 3396 15927 32.8783 9.14409 0.542528 31.0846
234 3402 15918 32.9073 9.12421 0.540951 30.9942
235 3402 15921 32.9073 9.12584 0.541043 30.9995
236 3411 15928 32.9508 9.10729 0.539317 30.9006
237 3384 15939 32.8201 9.18075 0.545515 31.2557
238 3408 15949 32.9363 9.12618 0.540609 30.9746
239 3408 15942 32.9363 9.12237 0.540394 30.9623
240 3420 15955 32.9942 9.09969 0.538213 30.8373
241 3420 15952 32.9942 9.09806 0.538121 30.8321
242 3423 15973 33.0087 9.10205 0.538121 30.8321
243 3438 15986 33.081 9.07216 0.535321 30.6716
244 3450 15990 33.1386 9.04496 0.532905 30.5332
245 3459 15983 33.1818 9.01928 0.530803 30.4128
246 3471 16000 33.2393 8.99935 0.52881 30.2986
247 3483 15990 33.2967 8.9651 0.526023 30.1389
248 3489 15968 33.3254 8.93896 0.524127 30.0303
249 3489 15982 33.3254 8.94644 0.524546 30.0543
250 3492 15989 33.3397 8.94301 0.524139 30.031
251 3480 15992 33.2824 8.97338 0.526703 30.1778
252 3486 15979 33.3111 8.95202 0.525074 30.0845
253 3495 16000 33.3541 8.94172 0.523852 30.0145
254 3492 15997 33.3397 8.94729 0.524378 30.0447
255 3483 15990 33.2967 8.9651 0.526023 30.1389
256 3492 15990 33.3397 8.94355 0.524169 30.0327
257 3504 15984 33.397 8.91177 0.521535 29.8818
258 3510 15991 33.4256 8.90127 0.520522 29.8237
259 3507 15950 33.4113 8.88654 0.519912 29.7888
260 3510 15957 33.4256 8.88317 0.519511 29.7658
261 3510 15950 33.4256 8.87945 0.519303 29.7539
262 3522 15964 33.4826 8.85861 0.517294 29.6387
263 3525 15972 33.4969 8.8558 0.516927 29.6177
264 3519 15962 33.4684 8.8646 0.517839 29.67
265 3507 15962 33.4113 8.89293 0.520269 29.8092
266 3492 15960 33.3397 8.92752 0.523272 29.9813
267 3504 15966 33.397 8.90217 0.520999 29.851
268 3522 15969 33.4826 8.86126 0.517442 29.6472
269 3534 15957 33.5396 8.82678 0.514679 29.4889
270 3528 15967 33.5112 8.84611 0.516176 29.5747
271 3519 15960 33.4684 8.86354 0.51778 29.6666
272 3516 15964 33.4541 8.87273 0.518504 29.7081
273 3522 15967 33.4826 8.8602 0.517382 29.6438
274 3516 15939 33.4541 8.85944 0.517762 29.6656
275 3540 15955 33.5681 8.81173 0.513422 29.4169
276 3516 15939 33.4541 8.85944 0.517762 29.6656
277 3534 15959 33.5396 8.82784 0.514738 29.4923
278 3543 15935 33.5823 8.79418 0.512237 29.349
279 3543 15951 33.5823 8.80263 0.512708 29.376
280 3558 15957 33.6533 8.77105 0.509915 29.216
281 3564 15982 33.6817 8.77036 0.509466 29.1902
282 3567 15977 33.6959 8.76082 0.50873 29.1481
283 3567 15973 33.6959 8.75872 0.508614 29.1414
284 3567 15976 33.6959 8.7603 0.508701 29.1464
285 3585 15960 33.7808 8.7107 0.504725 28.9186
286 3570 15948 33.71 8.7387 0.507296 29.0659
287 3564 15952 33.6817 8.75459 0.508589 29.14
288 3537 15933 33.5539 8.80708 0.513371 29.414
