MCS Area Volume r h theta_rad theta_deg
115 5157 32705 40.5157 12.3054 0.589729 33.789
116 5172 32719 40.5746 12.2776 0.58767 33.671
117 5163 32716 40.5393 12.2962 0.58899 33.7467
118 5181 32731 40.6099 12.2623 0.586498 33.6038
119 5214 32763 40.739 12.2024 0.582044 33.3487
120 5199 32786 40.6804 12.2428 0.584658 33.4985
121 5208 32815 40.7156 12.2336 0.583767 33.4474
122 5211 32805 40.7273 12.2236 0.583159 33.4126
123 5199 32812 40.6804 12.252 0.585072 33.5221
124 5199 32810 40.6804 12.2513 0.58504 33.5203
125 5223 32836 40.7742 12.2088 0.581856 33.3379
126 5202 32845 40.6921 12.2571 0.585145 33.5263
127 5235 32845 40.821 12.1862 0.580212 33.2437
128 5262 32867 40.9261 12.1365 0.576569 33.035
129 5265 32901 40.9378 12.142 0.576661 33.0403
130 5271 32928 40.9611 12.1387 0.576203 33.014
131 5283 32970 41.0077 12.1279 0.575103 32.951
132 5262 32969 40.9261 12.1721 0.578169 33.1266
133 5277 33008 40.9844 12.1539 0.576575 33.0353
134 5307 33018 41.1007 12.0941 0.572357 32.7936
135 5316 33032 41.1356 12.0801 0.571272 32.7315
136 5295 33048 41.0542 12.1298 0.574567 32.9203
137 5298 33073 41.0659 12.1321 0.574519 32.9175
138 5313 33058 41.124 12.0954 0.572109 32.7794
139 5319 33067 41.1472 12.086 0.571381 32.7377
140 5310 33079 41.1124 12.109 0.572869 32.823
141 5325 33068 41.1704 12.0738 0.570531 32.689
142 5328 33079 41.182 12.0713 0.570269 32.674
143 5319 33060 41.1472 12.0835 0.571272 32.7315
144 5358 33067 41.2978 12.0049 0.56579 32.4174
145 5370 33052 41.344 11.975 0.563856 32.3066
146 5352 33070 41.2746 12.0183 0.566691 32.469
147 5364 33086 41.3209 11.999 0.565229 32.3852
148 5364 33073 41.3209 11.9946 0.565029 32.3738
149 5373 33073 41.3555 11.976 0.563754 32.3007
150 5379 33108 41.3786 11.9757 0.563441 32.2828
151 5370 33105 41.344 11.9932 0.564669 32.3531
152 5349 33096 41.2631 12.0335 0.567519 32.5164
153 5376 33109 41.3671 11.9822 0.563881 32.308
154 5388 33111 41.4132 11.9583 0.562218 32.2127
155 5394 33109 41.4363 11.9453 0.561344 32.1626
156 5412 33117 41.5053 11.9114 0.558946 32.0252
157 5421 33117 41.5398 11.8931 0.557692 31.9534
158 5406 33114 41.4823 11.9225 0.559738 32.0706
159 5394 33123 41.4363 11.9501 0.561557 32.1749
160 5409 33098 41.4938 11.911 0.559075 32.0327
161 5412 33120 41.5053 11.9124 0.558991 32.0278
162 5436 33137 41.5973 11.8695 0.555915 31.8516
163 5445 33152 41.6317 11.8565 0.554899 31.7934
164 5448 33168 41.6432 11.8559 0.554727 31.7835
165 5448 33172 41.6432 11.8572 0.554787 31.787
166 5469 33202 41.7233 11.8253 0.552356 31.6477
167 5472 33196 41.7348 11.8172 0.551856 31.619
168 5496 33233 41.8262 11.7819 0.549145 31.4637
169 5502 33258 41.849 11.7784 0.548706 31.4385
170 5481 33259 41.7691 11.8205 0.551572 31.6028
171 5523 33216 41.9288 11.7228 0.545253 31.2407
172 5517 33230 41.906 11.7393 0.546267 31.2988
173 5514 33266 41.8946 11.7573 0.547206 31.3526
174 5520 33269 41.9174 11.7465 0.546443 31.3089
175 5529 33284 41.9516 11.7338 0.545459 31.2525
176 5529 33245 41.9516 11.7207 0.54488 31.2193
177 5508 33217 41.8718 11.7527 0.547284 31.3571
178 5490 33232 41.8034 11.7935 0.549944 31.5095
179 5502 33182 41.849 11.7528 0.547572 31.3736
180 5520 33172 41.9174 11.7139 0.545001 31.2263
181 5508 33195 41.8718 11.7453 0.546957 31.3383
182 5499 33218 41.8376 11.7709 0.548515 31.4276
183 5505 33200 41.8604 11.7529 0.547436 31.3657
184 5550 33203 42.0312 11.6655 0.54146 31.0234
185 5568 33198 42.0993 11.6288 0.539007 30.8828
186 5592 33222 42.1899 11.5904 0.536211 30.7226
187 5574 33213 42.122 11.6222 0.538438 30.8502
188 5553 33227 42.0425 11.6677 0.541417 31.0209
189 5550 33263 42.0312 11.6856 0.542347 31.0742
190 5553 33282 42.0425 11.6861 0.542229 31.0674
191 5529 33300 41.9516 11.7392 0.545696 31.2661
192 5547 33306 42.0198 11.7058 0.543381 31.1334
193 5565 33315 42.0879 11.6737 0.541126 31.0042
194 5553 33307 42.0425 11.6944 0.542598 31.0886
195 5580 33309 42.1446 11.6425 0.53906 30.8859
196 5601 33297 42.2239 11.598 0.536134 30.7182
197 5592 33297 42.1899 11.6153 0.53731 30.7856
198 5589 33275 42.1786 11.6138 0.53738 30.7896
199 5598 33279 42.2125 11.5978 0.536262 30.7256
200 5613 33304 42.2691 11.5772 0.534675 30.6346
201 5595 33307 42.2012 11.6129 0.537064 30.7715
202 5595 33321 42.2012 11.6175 0.537269 30.7832
203 5595 33323 42.2012 11.6182 0.537298 30.7849
204 5586 33333 42.1673 11.6389 0.538624 30.8609
205 5589 33289 42.1786 11.6185 0.537585 30.8014
206 5589 33303 42.1786 11.6231 0.537791 30.8131
207 5598 33319 42.2125 11.6111 0.536848 30.7591
208 5601 33340 42.2239 11.6123 0.536763 30.7543
209 5601 33308 42.2239 11.6016 0.536295 30.7275
210 5628 33325 42.3255 11.5555 0.533039 30.5409
211 5634 33310 42.3481 11.5391 0.532046 30.484
212 5655 33281 42.4269 11.4896 0.528932 30.3056
213 5652 33275 42.4157 11.4933 0.529228 30.3225
214 5670 33268 42.4831 11.457 0.526833 30.1853
215 5664 33295 42.4607 11.4772 0.527986 30.2514
216 5664 33266 42.4607 11.4676 0.527567 30.2274
217 5655 33273 42.4269 11.487 0.528816 30.2989
218 5643 33271 42.3819 11.5091 0.530323 30.3853
219 5661 33288 42.4494 11.4806 0.528267 30.2675
220 5700 33302 42.5954 11.4119 0.523532 29.9962
221 5685 33297 42.5393 11.4383 0.525351 30.1004
222 5676 33289 42.5056 11.4526 0.526375 30.159
223 5694 33307 42.573 11.4247 0.524359 30.0435
224 5685 33296 42.5393 11.438 0.525336 30.0996
225 5700 33284 42.5954 11.406 0.523274 29.9814
226 5703 33280 42.6066 11.3991 0.52284 29.9565
227 5718 33298 42.6626 11.377 0.52122 29.8637
228 5709 33272 42.629 11.3853 0.521973 29.9069
229 5724 33247 42.685 11.3493 0.519744 29.7791
230 5745 33250 42.7632 11.3115 0.517183 29.6324
231 5760 33220 42.819 11.2742 0.514911 29.5022
232 5751 33221 42.7855 11.291 0.516032 29.5664
233 5745 33230 42.7632 11.305 0.516899 29.6161
234 5718 33219 42.6626 11.3512 0.520091 29.799
235 5694 33192 42.573 11.387 0.522707 29.9489
236 5697 33192 42.5842 11.3814 0.52233 29.9273
237 5694 33175 42.573 11.3815 0.522463 29.9349
238 5742 33166 42.752 11.2896 0.516358 29.5852
239 5745 33156 42.7632 11.2809 0.515846 29.5558
240 5760 33121 42.819 11.242 0.513506 29.4218
241 5793 33141 42.9415 11.1886 0.509773 29.2078
242 5793 33117 42.9415 11.1808 0.509435 29.1884
243 5799 33146 42.9637 11.1793 0.509118 29.1703
244 5784 33171 42.9081 11.2146 0.511287 29.2946
245 5793 33184 42.9415 11.2025 0.510379 29.2426
246 5787 33196 42.9192 11.2172 0.511276 29.294
247 5793 33178 42.9415 11.2005 0.510295 29.2377
248 5805 33193 42.9859 11.1837 0.509056 29.1667
249 5796 33210 42.9526 11.2054 0.510382 29.2427
250 5805 33216 42.9859 11.1911 0.509379 29.1853
251 5811 33203 43.0081 11.1761 0.508473 29.1334
252 5799 33185 42.9637 11.1919 0.509667 29.2018
253 5787 33195 42.9192 11.2169 0.511262 29.2932
254 5814 33181 43.0192 11.1636 0.507803 29.095
255 5781 33149 42.897 11.2129 0.511341 29.2977
256 5781 33166 42.897 11.2184 0.511581 29.3115
257 5781 33144 42.897 11.2113 0.511271 29.2936
258 5793 33135 42.9415 11.1866 0.509688 29.203
259 5790 33171 42.9303 11.2037 0.510559 29.2529
260 5778 33186 42.8858 11.2303 0.512229 29.3486
261 5772 33177 42.8636 11.2383 0.512833 29.3832
262 5805 33185 42.9859 11.1811 0.508943 29.1603
263 5793 33190 42.9415 11.2044 0.510464 29.2474
264 5784 33191 42.9081 11.221 0.51157 29.3108
265 5778 33185 42.8858 11.23 0.512215 29.3478
266 5784 33194 42.9081 11.222 0.511612 29.3132
267 5808 33213 42.997 11.1847 0.508975 29.1621
268 5808 33213 42.997 11.1847 0.508975 29.1621
269 5847 33223 43.1411 11.118 0.504447 28.9027
270 5859 33248 43.1854 11.1046 0.503372 28.8411
271 5865 33219 43.2075 11.0847 0.502259 28.7773
272 5865 33223 43.2075 11.086 0.502315 28.7805
273 5868 33218 43.2185 11.0791 0.501892 28.7563
274 5880 33224 43.2627 11.0598 0.500563 28.6801
275 5868 33208 43.2185 11.0759 0.501753 28.7483
276 5877 33184 43.2517 11.0523 0.500361 28.6686
277 5892 33201 43.3068 11.0313 0.498839 28.5814
278 5925 33228 43.4279 10.9821 0.495377 28.383
279 5928 33207 43.4389 10.9702 0.494742 28.3466
280 5934 33216 43.4609 10.9626 0.494174 28.3141
281 5916 33208 43.3949 10.9915 0.496143 28.4269
282 5928 33195 43.4389 10.9664 0.494578 28.3372
283 5928 33168 43.4389 10.9579 0.494207 28.316
284 5937 33160 43.4719 10.9397 0.493062 28.2504
285 5940 33193 43.4829 10.9449 0.493169 28.2565
286 5955 33215 43.5377 10.926 0.491752 28.1753
287 5958 33253 43.5487 10.9328 0.491928 28.1854
288 5979 33286 43.6254 10.907 0.489987 28.0742
289 5994 33297 43.6801 10.8848 0.488439 27.9855
290 6003 33306 43.7129 10.8723 0.487547 27.9344
291 6000 33283 43.7019 10.8702 0.487574 27.9359
292 6012 33291 43.7456 10.8522 0.486334 27.8649
293 6027 33280 43.8002 10.8233 0.484509 27.7603
294 6024 33293 43.7893 10.8325 0.485018 27.7895
295 6024 33280 43.7893 10.8284 0.484843 27.7795
296 6009 33294 43.7347 10.8583 0.486711 27.8865
297 6024 33291 43.7893 10.8319 0.484991 27.788
298 6030 33315 43.8111 10.8292 0.484645 27.7681
299 6036 33383 43.8328 10.8403 0.48489 27.7822
300 6036 33409 43.8328 10.8484 0.485239 27.8022
301 6045 33391 43.8655 10.8276 0.483997 27.731
302 6069 33382 43.9525 10.7844 0.481223 27.572
303 6093 33369 44.0393 10.7403 0.47842 27.4114
304 6114 33388 44.1152 10.7113 0.476389 27.2951
305 6099 33397 44.061 10.739 0.478138 27.3953
306 6114 33386 44.1152 10.7107 0.476362 27.2936
307 6114 33424 44.1152 10.7224 0.476865 27.3223
308 6111 33397 44.1043 10.7191 0.476833 27.3205
309 6090 33391 44.0285 10.7521 0.47904 27.447
310 6096 33393 44.0502 10.7427 0.478411 27.411
311 6120 33386 44.1368 10.7008 0.475713 27.2564
312 6126 33392 44.1584 10.6927 0.475144 27.2238
313 6123 33393 44.1476 10.698 0.475481 27.2431
314 6102 33386 44.0718 10.7306 0.477665 27.3682
315 6132 33382 44.18 10.6798 0.474366 27.1792
316 6114 33379 44.1152 10.7085 0.47627 27.2882
317 6111 33373 44.1043 10.7117 0.476515 27.3023
318 6117 33355 44.126 10.6962 0.475628 27.2515
319 6108 33319 44.0935 10.6999 0.476126 27.28
320 6078 33291 43.9851 10.7411 0.479022 27.4459
321 6081 33314 43.9959 10.7432 0.479 27.4447
322 6090 33309 44.0285 10.7267 0.47795 27.3845
323 6105 33320 44.0827 10.7052 0.476464 27.2994
324 6138 33309 44.2017 10.6474 0.47276 27.0871
325 6117 33286 44.126 10.6749 0.474715 27.1992
326 6126 33268 44.1584 10.6545 0.473508 27.13
327 6111 33239 44.1043 10.6702 0.474741 27.2007
328 6123 33233 44.1476 10.6486 0.473368 27.122
329 6123 33219 44.1476 10.6443 0.473183 27.1114
330 6111 33184 44.1043 10.6532 0.474013 27.1589
331 6156 33202 44.2664 10.5851 0.469431 26.8964
332 6144 33197 44.2233 10.6031 0.470643 26.9659
333 6144 33213 44.2233 10.6081 0.470854 26.9779
334 6114 33214 44.1152 10.6576 0.474086 27.1632
335 6117 33213 44.126 10.6523 0.47375 27.1439
336 6159 33216 44.2772 10.5845 0.469297 26.8887
337 6132 33188 44.18 10.62 0.471808 27.0326
338 6126 33189 44.1584 10.6301 0.472464 27.0702
339 6108 33226 44.0935 10.6712 0.474893 27.2094
340 6099 33247 44.061 10.6925 0.476147 27.2812
341 6114 33208 44.1152 10.6557 0.474007 27.1586
342 6102 33199 44.0718 10.6727 0.475185 27.2261
343 6108 33191 44.0935 10.6603 0.47443 27.1828
344 6102 33175 44.0718 10.6653 0.474866 27.2078
345 6099 33172 44.061 10.6693 0.475151 27.2242
346 6111 33204 44.1043 10.6594 0.474278 27.1741
347 6108 33205 44.0935 10.6647 0.474615 27.1934
348 6108 33209 44.0935 10.6659 0.474668 27.1965
349 6093 33222 44.0393 10.6947 0.476467 27.2995
350 6069 33241 43.9525 10.7406 0.479341 27.4642
351 6069 33260 43.9525 10.7465 0.479595 27.4788
352 6075 33305 43.9742 10.7504 0.479537 27.4754
353 6084 33302 44.0068 10.7345 0.478512 27.4167
354 6102 33330 44.0718 10.7133 0.476923 27.3257
355 6084 33325 44.0068 10.7416 0.478818 27.4343
356 6063 33366 43.9308 10.7895 0.48167 27.5977
357 6084 33375 44.0068 10.7571 0.479483 27.4724
358 6090 33386 44.0285 10.7506 0.478973 27.4432
359 6093 33394 44.0393 10.748 0.478752 27.4305
360 6099 33380 44.061 10.7337 0.477912 27.3823
361 6120 33378 44.1368 10.6983 0.475607 27.2503
362 6105 33372 44.0827 10.7213 0.477153 27.3389
363 6111 33335 44.1043 10.6999 0.476013 27.2735
364 6111 33332 44.1043 10.699 0.475973 27.2712
365 6126 33311 44.1584 10.6678 0.474075 27.1625
