MCS Area Volume r h theta_rad theta_deg
115 3051 15394 31.1635 9.77094 0.60766 34.8164
116 3027 15379 31.0407 9.83237 0.613518 35.152
117 3027 15361 31.0407 9.82156 0.612885 35.1157
118 3048 15356 31.1482 9.75699 0.607126 34.7857
119 3030 15360 31.0561 9.81212 0.612047 35.0677
120 3033 15361 31.0714 9.80389 0.611281 35.0238
121 3048 15351 31.1482 9.754 0.606951 34.7757
122 3063 15352 31.2247 9.71106 0.603046 34.552
123 3075 15375 31.2858 9.69013 0.600717 34.4186
124 3096 15363 31.3925 9.62301 0.594889 34.0847
125 3117 15357 31.4988 9.56015 0.589346 33.767
126 3105 15351 31.4381 9.59043 0.592181 33.9295
127 3105 15323 31.4381 9.57392 0.59122 33.8744
128 3096 15351 31.3925 9.61592 0.594477 34.061
129 3102 15374 31.4229 9.61247 0.593734 34.0185
130 3093 15359 31.3773 9.62917 0.59552 34.1208
131 3108 15380 31.4533 9.59903 0.592412 33.9427
132 3114 15389 31.4836 9.5874 0.591197 33.8731
133 3111 15422 31.4684 9.61526 0.593086 33.9813
134 3132 15419 31.5745 9.55448 0.587683 33.6718
135 3135 15402 31.5896 9.53616 0.586356 33.5957
136 3165 15406 31.7404 9.45552 0.579062 33.1778
137 3159 15405 31.7103 9.47143 0.580503 33.2603
138 3150 15413 31.6651 9.50092 0.582995 33.4031
139 3159 15401 31.7103 9.4691 0.580368 33.2526
140 3171 15394 31.7704 9.43212 0.577191 33.0706
141 3174 15396 31.7855 9.42509 0.576526 33.0325
142 3162 15361 31.7253 9.43761 0.578285 33.1333
143 3177 15375 31.8005 9.40475 0.575092 32.9504
144 3177 15366 31.8005 9.39954 0.574791 32.9331
145 3192 15359 31.8755 9.35485 0.570931 32.712
146 3207 15378 31.9503 9.32546 0.567971 32.5423
147 3213 15371 31.9801 9.30539 0.566311 32.4472
148 3201 15372 31.9204 9.33811 0.569205 32.613
149 3195 15377 31.8904 9.35714 0.57081 32.705
150 3192 15380 31.8755 9.36697 0.571631 32.752
151 3186 15385 31.8455 9.38609 0.573245 32.8445
152 3207 15384 31.9503 9.32891 0.568169 32.5537
153 3225 15381 32.0398 9.27917 0.563802 32.3035
154 3243 15394 32.1291 9.23902 0.560009 32.0862
155 3258 15396 32.2033 9.20084 0.556593 31.8904
156 3228 15396 32.0547 9.27979 0.563589 32.2913
157 3222 15403 32.0249 9.29974 0.565236 32.3856
158 3228 15397 32.0547 9.28036 0.563622 32.2932
159 3240 15418 32.1142 9.2606 0.561496 32.1713
160 3243 15428 32.1291 9.25838 0.561122 32.1499
161 3267 15461 32.2478 9.2142 0.556631 31.8926
162 3240 15454 32.1142 9.28111 0.562675 32.2389
163 3255 15441 32.1885 9.23423 0.558754 32.0142
164 3270 15447 32.2626 9.19846 0.555486 31.827
165 3291 15470 32.366 9.15707 0.551433 31.5948
166 3300 15466 32.4102 9.13169 0.549268 31.4707
167 3297 15434 32.3955 9.12141 0.548917 31.4506
168 3288 15460 32.3512 9.15917 0.551793 31.6154
169 3294 15434 32.3807 9.1291 0.549595 31.4895
170 3282 15418 32.3217 9.15098 0.551802 31.616
171 3300 15443 32.4102 9.11878 0.548529 31.4284
172 3291 15430 32.366 9.13456 0.550145 31.521
173 3303 15425 32.425 9.101 0.547276 31.3566
174 3321 15435 32.5132 9.06083 0.543572 31.1444
175 3333 15435 32.5719 9.03054 0.540913 30.992
176 3333 15433 32.5719 9.02943 0.54085 30.9884
177 3327 15428 32.5425 9.04175 0.542017 31.0553
178 3324 15440 32.5279 9.05603 0.543064 31.1153
179 3324 15414 32.5279 9.04151 0.542236 31.0678
180 3312 15421 32.4691 9.07583 0.545131 31.2337
181 3306 15423 32.4397 9.09222 0.546538 31.3143
182 3312 15416 32.4691 9.07303 0.544971 31.2245
183 3342 15451 32.6158 9.01685 0.539439 30.9076
184 3330 15444 32.5572 9.04311 0.541862 31.0464
185 3318 15425 32.4985 9.06284 0.54392 31.1643
186 3321 15396 32.5132 9.03903 0.542327 31.0731
187 3327 15418 32.5425 9.03617 0.541699 31.037
188 3333 15454 32.5719 9.04113 0.541517 31.0266
189 3330 15452 32.5572 9.04757 0.542116 31.061
190 3330 15441 32.5572 9.04144 0.541767 31.0409
191 3333 15431 32.5719 9.02831 0.540786 30.9848
192 3345 15438 32.6305 9.00211 0.538369 30.8463
193 3351 15462 32.6597 9.00044 0.537815 30.8145
194 3357 15447 32.6889 8.97718 0.536034 30.7125
195 3372 15419 32.7619 8.92456 0.531908 30.4761
196 3375 15419 32.7765 8.91718 0.531263 30.4391
197 3372 15395 32.7619 8.91131 0.531154 30.4329
198 3369 15381 32.7473 8.91096 0.53136 30.4447
199 3375 15385 32.7765 8.89842 0.530197 30.378
200 3381 15383 32.8056 8.8826 0.528849 30.3008
201 3372 15347 32.7619 8.8848 0.529647 30.3465
202 3381 15353 32.8056 8.86607 0.52791 30.247
203 3384 15394 32.8201 8.88132 0.528553 30.2839
204 3378 15400 32.791 8.89933 0.530024 30.3681
205 3378 15405 32.791 8.90208 0.53018 30.3771
206 3393 15395 32.8637 8.85991 0.526669 30.1759
207 3393 15397 32.8637 8.86101 0.526732 30.1795
208 3405 15397 32.9218 8.83189 0.524195 30.0342
209 3429 15425 33.0376 8.78942 0.52004 29.7961
210 3414 15436 32.9653 8.83148 0.523512 29.995
211 3429 15475 33.0376 8.81665 0.521579 29.8843
212 3423 15466 33.0087 8.82617 0.522554 29.9401
213 3438 15474 33.081 8.79456 0.519679 29.7754
214 3441 15455 33.0954 8.77708 0.518476 29.7065
215 3426 15450 33.0232 8.81024 0.521434 29.876
216 3411 15434 32.9508 8.83763 0.52408 30.0276
217 3405 15437 32.9218 8.8538 0.525437 30.1053
218 3414 15448 32.9653 8.83804 0.523883 30.0163
219 3438 15452 33.081 8.7826 0.519004 29.7367
220 3444 15438 33.1098 8.76071 0.517336 29.6411
221 3447 15419 33.1242 8.74328 0.516137 29.5724
222 3447 15404 33.1242 8.73514 0.515677 29.5461
223 3450 15368 33.1386 8.70852 0.51396 29.4477
224 3465 15371 33.2106 8.67486 0.510998 29.278
225 3471 15361 33.2393 8.65542 0.50948 29.191
226 3465 15374 33.2106 8.67648 0.511089 29.2832
227 3480 15355 33.2824 8.63122 0.507486 29.0768
228 3474 15370 33.2537 8.65327 0.509148 29.172
229 3471 15386 33.2393 8.66891 0.51024 29.2346
230 3474 15380 33.2537 8.65866 0.509452 29.1894
231 3459 15386 33.1818 8.69706 0.512674 29.374
232 3459 15401 33.1818 8.70517 0.513131 29.4003
