MCS Volumen AContact r h theta
0 14000.0 0.0 0.0 29.902658734369908 180.0
1 15606.0 60.0 4.370193722368317 30.389044312318827 163.63300623049838
2 17751.0 207.0 8.117274569709014 30.331937864391374 150.0357579092132
3 20295.0 381.0 11.012541334134653 30.27383378262774 140.02083461489255
4 23110.0 594.0 13.750493532712623 30.036691984256368 130.8043454168808
5 25933.0 810.0 16.05711704537494 29.804275041507115 123.3726758321836
6 28800.0 1092.0 18.643883600599406 29.10468425134258 114.71436208935982
7 31467.0 1380.0 20.958712816717327 28.33720378710511 107.02539015358127
8 34072.0 1680.0 23.12489154112443 27.540785650692964 99.96233942059523
9 36349.0 1950.0 24.913937425834398 26.866635351514514 94.31931717854967
10 38279.0 2181.0 26.348318006408824 26.333892058271957 89.96862144082249
11 39920.0 2346.0 27.326818200939037 26.09791933481967 87.3645802568929
12 41283.0 2517.0 28.305228907829047 25.722497194040972 84.52625270344447
13 42293.0 2622.0 28.88959192466898 25.577290358070176 83.03990026638435
14 43074.0 2727.0 29.462366836749506 25.341401545771845 81.39948176891457
15 43631.0 2760.0 29.640095915284455 25.39947913049043 81.18850833490316
16 43989.0 2799.0 29.84877504066842 25.34252663671365 80.66455894953275
17 44286.0 2814.0 29.928648812152996 25.38675696413232 80.61206301624149
18 44503.0 2853.0 30.135329851892358 25.27253909872039 79.9687414277584
19 44655.0 2853.0 30.135329851892358 25.33503261134398 80.10811322159105
20 44789.0 2862.0 30.18282449105797 25.343227664487166 80.03748740014673
21 44874.0 2871.0 30.230244511642027 25.33134324804323 79.92244843730225
22 44954.0 2877.0 30.26181657717801 25.332980671136266 79.867214530738
23 45020.0 2871.0 30.230244511642027 25.39103690762911 80.05525448591412
24 45065.0 2877.0 30.26181657717801 25.378316784944737 79.96807783219133
25 45115.0 2871.0 30.230244511642027 25.429816417084936 80.14139257634423
26 45130.0 2862.0 30.18282449105797 25.48267024313164 80.34727894848888
27 45185.0 2859.0 30.167001253015812 25.520704624078352 80.46116145125958
28 45216.0 2874.0 30.246034663939245 25.455431701511785 80.16874884891116
29 45238.0 2877.0 30.26181657717801 25.448842685596844 80.12468760852771
30 45243.0 2877.0 30.26181657717801 25.450878601128686 80.1292032245641
31 45237.0 2865.0 30.1986394381694 25.51070037696328 80.37978906253758
32 45251.0 2865.0 30.1986394381694 25.516403033355978 80.39241565770413
33 45275.0 2856.0 30.15116971098976 25.57299663625456 80.60651051946323
